cart_id,user_id,product_id,quantity,cart_date
1,156,129,1,2023-01-09 01:05:38
2,473,243,1,2021-02-18 08:39:40
3,1,193,3,2023-07-02 17:28:02
4,421,101,3,2023-01-26 15:09:11
5,470,202,5,2022-08-05 00:57:00
6,93,177,5,2021-02-02 01:20:29
7,452,144,4,2022-04-19 13:33:58
8,70,133,2,2021-08-05 02:44:57
9,223,232,1,2022-10-15 09:16:19
10,172,39,1,2023-01-02 02:39:57
11,79,47,1,2023-07-22 03:51:31
12,55,73,1,2021-12-20 14:10:40
13,132,50,5,2023-11-04 21:42:26
14,311,41,4,2022-12-26 00:37:32
15,379,256,3,2021-05-10 12:12:33
16,140,202,4,2022-07-02 04:16:23
17,447,116,4,2022-10-07 05:19:49
18,340,4,5,2023-11-06 05:02:03
19,336,216,4,2023-09-12 11:03:43
20,94,191,3,2023-05-13 18:48:56
21,191,251,5,2022-11-17 12:13:56
22,143,91,5,2023-11-25 20:20:19
23,161,192,2,2023-01-22 19:45:49
24,424,55,2,2021-10-13 12:44:54
25,187,103,2,2021-11-30 11:06:07
26,127,43,2,2021-05-25 04:51:32
27,482,103,1,2023-03-22 22:43:22
28,382,222,2,2022-10-01 18:10:40
29,287,206,5,2021-05-06 16:06:45
30,111,143,4,2022-12-02 05:56:18
31,329,224,1,2023-07-28 15:07:28
32,496,285,2,2022-09-11 18:31:51
33,314,44,2,2022-03-31 23:59:11
34,205,72,2,2022-03-22 13:26:32
35,246,227,5,2023-10-08 17:42:31
36,495,57,3,2022-03-12 07:18:56
37,244,262,1,2021-07-25 16:02:22
38,414,120,1,2023-04-22 05:31:05
39,113,68,5,2023-07-11 21:52:22
40,394,117,3,2022-02-03 10:02:07
41,271,281,2,2023-04-25 22:22:36
42,138,262,4,2023-08-07 02:08:18
43,125,261,5,2023-08-02 07:38:37
44,107,172,3,2023-04-27 02:50:11
45,138,10,3,2023-07-07 23:02:04
46,5,79,4,2023-02-20 10:00:30
47,428,114,3,2022-04-16 01:35:33
48,237,198,1,2023-07-11 00:20:45
49,272,227,2,2022-09-10 22:21:12
50,371,207,3,2022-04-22 06:06:41
51,368,173,5,2021-11-17 00:49:40
52,311,30,2,2023-02-26 03:41:58
53,382,265,2,2021-09-04 02:10:52
54,107,238,4,2021-02-17 02:21:16
55,159,96,5,2023-09-27 07:52:24
56,131,296,2,2021-08-01 05:18:35
57,313,6,3,2021-11-03 13:39:26
58,194,42,2,2023-05-10 09:02:18
59,448,198,3,2021-02-25 14:06:21
60,194,166,4,2023-09-26 12:34:41
61,333,32,1,2022-10-10 18:24:48
62,124,135,1,2022-06-17 13:43:43
63,258,40,2,2023-09-10 03:40:39
64,167,5,4,2022-11-05 02:10:04
65,269,40,2,2021-03-09 06:03:02
66,136,36,5,2021-09-28 21:08:02
67,217,156,4,2023-08-03 22:01:45
68,306,35,5,2022-12-08 17:45:34
69,247,171,5,2022-08-19 00:25:11
70,10,178,5,2021-05-06 02:34:46
71,435,46,5,2023-01-10 16:36:26
72,218,264,5,2023-09-04 12:27:55
73,322,215,1,2021-09-19 03:07:42
74,281,91,4,2022-07-26 04:17:49
75,102,132,4,2022-12-04 09:25:21
76,258,90,2,2023-04-06 02:01:46
77,343,248,3,2022-09-08 13:52:59
78,237,245,4,2022-02-10 20:20:45
79,242,240,1,2023-05-03 15:04:01
80,247,246,3,2021-03-25 23:26:30
81,198,214,3,2023-07-16 20:56:17
82,448,126,3,2021-12-05 20:13:19
83,487,72,1,2021-10-30 11:54:30
84,187,58,2,2022-08-31 18:01:21
85,222,194,1,2021-10-29 07:24:57
86,494,94,3,2021-06-21 23:02:06
87,354,173,2,2022-09-05 16:09:00
88,143,235,5,2023-07-17 23:45:54
89,316,226,2,2021-12-20 11:42:25
90,483,225,1,2021-01-26 02:58:32
91,44,241,4,2023-09-07 10:26:46
92,89,254,2,2022-10-18 17:23:45
93,425,104,5,2021-04-10 04:12:16
94,286,58,5,2021-03-20 14:49:37
95,454,7,4,2023-10-04 11:26:54
96,138,161,3,2021-11-27 18:11:42
97,325,62,1,2023-01-19 09:24:30
98,112,214,1,2021-05-31 20:25:41
99,69,152,5,2021-11-09 12:23:21
100,167,120,5,2021-12-28 19:01:01
101,310,244,4,2022-02-03 08:46:32
102,153,27,1,2021-05-10 00:57:42
103,437,225,3,2022-08-22 16:33:34
104,360,20,5,2023-01-16 00:33:17
105,392,292,1,2021-12-24 05:35:32
106,72,124,3,2021-10-24 13:11:34
107,317,117,1,2022-05-18 15:53:26
108,349,214,3,2023-08-11 00:08:06
109,391,272,2,2023-03-09 11:11:04
110,94,165,2,2021-04-02 11:17:50
111,241,7,1,2021-09-07 18:36:56
112,32,273,3,2022-10-21 11:45:13
113,158,41,1,2023-08-10 00:55:00
114,133,85,1,2022-11-25 02:50:36
115,350,209,1,2022-05-25 10:30:12
116,393,119,2,2021-12-21 05:03:16
117,449,178,3,2023-06-11 18:14:39
118,170,74,2,2023-01-14 08:25:54
119,389,74,2,2021-12-20 18:09:21
120,101,211,5,2023-12-25 18:47:00
121,458,123,5,2021-02-25 05:03:05
122,115,73,2,2022-11-26 12:34:38
123,262,84,1,2022-10-16 11:04:10
124,236,47,2,2021-08-10 18:16:25
125,88,238,5,2023-01-21 02:09:53
126,124,92,1,2022-04-04 04:47:58
127,59,124,5,2022-01-18 19:41:43
128,348,137,1,2022-08-09 21:31:31
129,22,132,2,2021-06-22 04:54:24
130,310,31,4,2023-10-25 08:06:05
131,232,81,4,2022-05-04 08:53:09
132,104,42,2,2021-09-15 13:09:20
133,299,27,5,2021-01-05 00:37:36
134,360,220,5,2021-09-09 13:09:57
135,130,86,2,2022-11-17 11:40:13
136,163,195,2,2023-09-09 14:44:00
137,486,113,2,2022-03-21 09:48:52
138,20,159,2,2022-06-25 14:54:10
139,500,101,5,2023-12-13 17:07:04
140,86,180,2,2023-01-18 18:59:09
141,452,93,1,2023-11-16 21:33:38
142,433,210,3,2023-11-17 17:40:23
143,316,90,4,2022-09-19 23:58:43
144,369,40,3,2023-08-04 05:02:07
145,382,13,4,2023-12-24 15:00:06
146,338,300,1,2022-10-24 10:09:24
147,152,41,3,2023-02-06 23:56:42
148,123,268,5,2023-07-08 17:54:34
149,330,144,5,2022-02-05 14:09:22
150,71,185,5,2021-05-07 14:51:34
151,255,29,5,2022-06-21 18:07:19
152,117,98,1,2021-04-28 11:21:43
153,440,132,5,2021-02-21 06:14:03
154,226,41,1,2023-10-30 01:35:38
155,138,142,1,2022-07-04 11:44:03
156,237,205,1,2023-03-19 00:19:03
157,295,85,3,2021-10-28 22:27:30
158,397,201,5,2021-12-18 15:46:24
159,33,96,4,2023-05-25 01:32:16
160,63,146,1,2023-07-08 22:33:01
161,394,119,4,2023-08-02 02:11:43
