session_id,user_id,session_start,session_end,source,medium,device_category
session_1,38,2022-02-19 03:16:36,2022-02-19 04:39:36,google,referral,tablet
session_2,222,2023-03-02 22:58:29,2023-10-06 07:29:03,direct,cpc,desktop
session_3,89,2021-08-27 00:14:05,2023-06-10 22:01:44,google,email,desktop
session_4,355,2022-09-28 07:56:33,2023-05-27 21:31:57,direct,referral,desktop
session_5,260,2021-12-15 09:08:55,2021-12-15 11:46:55,google,referral,desktop
session_6,169,2021-06-28 10:44:33,2021-12-06 09:10:29,direct,organic,tablet
session_7,87,2022-05-08 10:06:48,2022-05-08 11:00:48,bing,email,tablet
session_8,381,2023-07-25 00:00:52,2023-11-20 13:08:50,bing,referral,mobile
session_9,72,2021-05-30 09:53:52,2022-06-09 17:38:28,direct,cpc,tablet
session_10,107,2023-01-17 14:15:57,2023-01-17 16:06:57,bing,email,mobile
session_11,465,2022-03-10 05:39:54,2022-08-05 16:11:10,google,cpc,desktop
session_12,289,2021-11-25 10:43:35,2023-09-06 12:24:07,social,email,desktop
session_13,322,2022-12-10 21:31:08,2022-12-10 23:52:08,social,email,tablet
session_14,331,2023-04-17 04:01:51,2023-04-17 04:20:51,social,referral,mobile
session_15,432,2022-03-08 12:24:04,2022-05-30 09:35:22,bing,email,mobile
session_16,58,2022-03-17 21:21:24,2023-08-25 19:23:45,google,cpc,tablet
session_17,284,2023-10-21 09:57:36,2023-10-21 11:55:36,social,cpc,desktop
session_18,48,2023-10-02 14:48:47,2023-10-02 15:36:47,social,email,tablet
session_19,119,2023-03-24 06:52:54,2023-03-24 09:26:54,google,organic,mobile
session_20,144,2023-01-17 23:54:26,2023-01-18 00:14:26,google,email,desktop
session_21,422,2022-12-11 22:41:27,2022-12-11 23:00:27,google,organic,mobile
session_22,189,2023-12-16 10:27:48,2023-12-16 10:58:48,bing,organic,tablet
session_23,157,2022-12-14 10:48:50,2023-08-27 14:37:30,direct,email,desktop
session_24,63,2021-05-28 12:28:40,2023-03-19 20:55:02,google,referral,mobile
session_25,215,2021-02-24 13:37:04,2021-05-30 22:46:35,direct,referral,tablet
session_26,108,2021-03-11 02:37:34,2022-02-24 02:15:22,social,cpc,desktop
session_27,232,2021-03-17 01:37:03,2021-05-31 06:24:19,bing,email,tablet
session_28,424,2021-06-13 06:34:44,2023-08-02 10:26:05,direct,cpc,desktop
session_29,334,2022-08-29 17:56:16,2022-08-29 18:38:16,social,referral,tablet
session_30,18,2021-02-19 07:53:20,2021-04-29 09:03:44,google,organic,tablet
session_31,387,2021-01-02 17:44:45,2023-07-16 19:06:21,direct,cpc,desktop
session_32,366,2021-06-26 02:39:08,2023-10-16 06:23:18,social,referral,desktop
session_33,324,2021-09-07 22:34:13,2021-09-07 22:58:13,google,referral,tablet
session_34,479,2022-06-08 18:04:10,2022-08-14 06:03:49,google,referral,tablet
session_35,289,2021-11-15 03:53:01,2022-05-21 14:36:48,google,referral,desktop
session_36,306,2022-02-23 14:45:49,2022-02-23 14:50:49,google,cpc,tablet
session_37,366,2023-08-17 13:32:11,2023-08-24 05:51:01,social,organic,tablet
session_38,93,2023-07-17 05:37:57,2023-07-17 06:43:57,direct,organic,mobile
session_39,33,2023-09-29 16:38:54,2023-09-29 18:42:54,bing,referral,mobile
session_40,440,2023-10-25 07:03:39,2023-10-25 09:03:39,direct,referral,desktop
session_41,422,2022-12-23 14:58:02,2022-12-23 15:30:02,direct,organic,desktop
session_42,290,2023-11-24 16:58:33,2023-11-24 19:12:33,bing,referral,desktop
