order_id,user_id,coupon_id,order_date,pickup_store_id,total_amount
1,224,332,2023-10-09 03:14:37,48,2155.7
2,335,155,2022-12-01 05:22:36,59,3794.63
3,77,574,2021-07-08 22:12:32,93,4487.5
4,21,88,2021-04-30 17:09:12,74,7668.39
5,366,884,2023-07-18 07:34:52,98,7165.3
6,358,938,2022-08-14 18:15:26,95,9821.79
7,204,109,2022-04-18 16:23:39,5,9534.44
8,368,511,2023-07-08 08:31:07,90,6052.8
9,207,345,2023-05-05 17:12:56,16,5311.75
10,362,832,2022-02-11 04:17:22,98,7135.82
11,314,628,2023-09-14 14:21:15,33,8066.32
12,140,87,2023-07-07 18:08:44,73,1368.71
13,173,824,2023-09-30 15:32:18,62,3765.64
14,351,,2023-08-09 11:04:36,45,2832.56
15,214,683,2023-04-24 09:16:57,73,4461.41
16,82,692,2023-02-07 19:49:25,11,8794.2
17,10,301,2022-11-07 23:12:25,63,8423.11
18,203,164,2023-02-04 11:21:15,97,6222.34
19,287,,2023-06-12 07:29:09,59,2264.93
20,341,,2023-10-10 19:11:05,58,7697.41
21,467,,2021-09-27 09:11:45,56,7859.91
22,34,27,2021-12-22 02:48:43,29,9376.74
23,312,862,2023-01-09 13:54:38,50,5156.7
24,275,80,2021-03-28 14:18:59,50,8939.79
25,379,314,2021-06-01 16:33:12,78,4010.66
26,452,265,2023-12-15 23:06:31,77,1411.34
27,234,678,2023-07-24 09:40:08,27,5421.28
28,25,325,2022-05-08 02:46:06,47,5730.85
29,301,436,2021-09-18 22:27:00,92,7211.43
30,297,909,2021-07-10 03:35:47,62,9703.62
31,303,429,2022-11-01 02:54:03,6,8101.9
32,101,138,2021-04-21 05:00:41,84,7875.36
33,268,664,2023-01-13 14:21:57,71,4007.36
34,255,681,2021-08-30 02:03:31,32,1233.07
35,213,625,2022-09-10 07:05:15,11,6022.03
36,291,706,2021-10-02 19:39:16,17,9172.83
37,473,540,2023-09-19 22:03:20,87,4740.29
38,336,657,2021-03-23 06:36:27,47,2299.55
39,88,116,2023-03-28 07:32:02,82,4079.0
