history_id,card_id,point_change,change_date,order_id,order_type
1,70,-90,2023-11-03,1301,mobile_order
2,24,64,2021-05-19,2048,qr_order
3,267,-13,2022-02-01,1345,qr_order
4,112,166,2023-04-23,477,ec_order
5,27,359,2022-08-10,822,qr_order
6,105,-111,2023-08-20,753,qr_order
7,230,-593,2022-10-01,2521,ec_order
8,288,694,2022-06-21,644,qr_order
9,228,-223,2022-09-23,1883,mobile_order
10,52,186,2023-08-19,54,ec_order
11,204,-30,2023-02-19,483,mobile_order
12,227,-225,2021-04-08,1217,ec_order
13,264,702,2022-06-12,2838,qr_order
14,250,404,2022-05-25,2038,mobile_order
15,124,-220,2022-04-02,2936,mobile_order
16,226,99,2021-10-19,557,mobile_order
17,293,272,2022-12-30,858,ec_order
18,58,-431,2021-12-09,2537,qr_order
19,52,758,2022-06-24,721,ec_order
20,122,-515,2022-02-20,1298,qr_order
21,251,-714,2023-10-21,1567,qr_order
22,270,571,2023-06-17,223,ec_order
23,10,755,2023-03-13,2988,qr_order
24,119,-656,2022-07-16,2912,qr_order
25,223,505,2023-06-16,1711,mobile_order
26,116,999,2021-11-06,1267,qr_order
27,212,-292,2023-03-16,1562,ec_order
28,57,-788,2022-06-03,1408,qr_order
29,110,419,2022-06-04,971,mobile_order
30,273,943,2022-01-01,611,ec_order
31,81,-238,2022-08-04,2177,mobile_order
32,117,546,2021-08-31,904,ec_order
33,260,-646,2021-04-03,1867,ec_order
34,218,-563,2022-12-27,2235,ec_order
35,133,-713,2021-04-28,2620,qr_order
36,266,-435,2022-12-16,82,ec_order
37,137,-546,2021-05-02,281,qr_order
38,300,21,2022-02-11,2320,ec_order
39,92,768,2021-12-29,114,ec_order
40,269,484,2021-07-25,1191,qr_order
41,200,-129,2021-03-11,2037,ec_order
42,218,321,2023-04-12,2442,qr_order
43,216,358,2022-08-29,537,ec_order
44,170,429,2021-09-18,1390,ec_order
45,57,986,2022-10-15,2138,ec_order
46,74,-556,2023-03-24,2713,qr_order
47,222,355,2023-05-07,1803,ec_order
48,174,89,2021-10-03,1476,ec_order
49,288,341,2023-06-29,2581,ec_order
50,215,-59,2021-08-20,647,mobile_order
51,245,505,2021-10-12,2110,qr_order
52,172,-720,2021-02-26,2560,ec_order
53,272,-194,2022-12-26,2971,mobile_order
54,95,620,2023-11-23,949,ec_order
55,181,-887,2023-06-20,1674,ec_order
56,40,-158,2021-05-18,2301,ec_order
57,6,-551,2023-02-21,2268,qr_order
58,173,-463,2023-12-15,916,ec_order
59,165,516,2022-12-16,2720,qr_order
60,56,-302,2021-04-30,752,ec_order
61,53,-80,2023-05-15,2362,ec_order
62,103,-896,2023-10-04,2417,mobile_order
63,39,-119,2023-10-09,765,qr_order
64,253,247,2022-02-16,1162,qr_order
65,224,301,2021-09-01,2140,ec_order
66,4,143,2022-08-10,2370,mobile_order
67,275,-674,2021-01-30,1132,ec_order
68,144,-31,2022-01-24,14,qr_order
69,238,-52,2021-11-28,2510,ec_order
70,51,-516,2021-10-26,531,ec_order
71,259,-367,2023-03-13,1699,qr_order
72,245,950,2022-01-26,889,ec_order
73,175,203,2022-01-16,2973,qr_order
74,191,773,2021-05-01,2747,mobile_order
75,37,-115,2022-10-06,2964,ec_order
76,58,513,2021-11-10,818,ec_order
77,276,291,2023-06-27,1263,qr_order
78,51,-454,2021-12-02,1632,mobile_order
79,223,-464,2023-08-21,131,ec_order
80,221,7,2022-12-26,654,mobile_order
81,156,-850,2023-06-10,2034,qr_order
82,61,488,2022-01-31,2608,qr_order
83,220,-675,2023-11-30,250,qr_order
84,88,341,2021-05-06,917,mobile_order
85,55,112,2021-10-28,1088,mobile_order
86,47,318,2023-06-06,2657,qr_order
87,93,689,2022-01-31,1459,mobile_order
88,109,793,2022-07-10,1816,ec_order
89,27,43,2022-04-09,182,qr_order
90,82,-71,2022-08-08,1018,ec_order
91,264,-466,2023-06-24,494,qr_order
92,77,-498,2022-12-28,485,mobile_order
93,86,-139,2023-04-11,2049,qr_order
94,58,-360,2023-03-02,2210,mobile_order
95,144,435,2022-04-13,756,qr_order
